"No.","Time","Source","Destination","Protocol","Length","Info"
"58","27.456976680","172.16.30.1","172.16.1.10","ICMP","98","Echo (ping) request  id=0x0ac1, seq=21/5376, ttl=64 (reply in 59)"
"59","27.457464108","172.16.1.10","172.16.30.1","ICMP","98","Echo (ping) reply    id=0x0ac1, seq=21/5376, ttl=62 (request in 58)"
"60","28.028994344","Routerbo_1c:9f:50","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:9f:50  Cost = 0  Port = 0x0001"
"61","28.480986927","172.16.30.1","172.16.1.10","ICMP","98","Echo (ping) request  id=0x0ac1, seq=22/5632, ttl=64 (reply in 62)"
"62","28.481443904","172.16.1.10","172.16.30.1","ICMP","98","Echo (ping) reply    id=0x0ac1, seq=22/5632, ttl=62 (request in 61)"
"63","29.504981180","172.16.30.1","172.16.1.10","ICMP","98","Echo (ping) request  id=0x0ac1, seq=23/5888, ttl=64 (reply in 64)"
"64","29.505415668","172.16.1.10","172.16.30.1","ICMP","98","Echo (ping) reply    id=0x0ac1, seq=23/5888, ttl=62 (request in 63)"
"65","30.031188096","Routerbo_1c:9f:50","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:9f:50  Cost = 0  Port = 0x0001"
"66","30.528984233","172.16.30.1","172.16.1.10","ICMP","98","Echo (ping) request  id=0x0ac1, seq=24/6144, ttl=64 (reply in 67)"
"67","30.529438905","172.16.1.10","172.16.30.1","ICMP","98","Echo (ping) reply    id=0x0ac1, seq=24/6144, ttl=62 (request in 66)"
"68","31.552983933","172.16.30.1","172.16.1.10","ICMP","98","Echo (ping) request  id=0x0ac1, seq=25/6400, ttl=64 (reply in 69)"
"69","31.553483234","172.16.1.10","172.16.30.1","ICMP","98","Echo (ping) reply    id=0x0ac1, seq=25/6400, ttl=62 (request in 68)"
"70","32.033263955","Routerbo_1c:9f:50","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:9f:50  Cost = 0  Port = 0x0001"
