"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","Routerbo_1c:8b:e3","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8b:e3  Cost = 0  Port = 0x0001"
"2","2.002480685","Routerbo_1c:8b:e3","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8b:e3  Cost = 0  Port = 0x0001"
"3","3.690383992","172.16.60.1","172.16.61.1","ICMP","98","Echo (ping) request  id=0x0c3e, seq=1/256, ttl=64 (reply in 4)"
"4","3.690699047","172.16.61.1","172.16.60.1","ICMP","98","Echo (ping) reply    id=0x0c3e, seq=1/256, ttl=63 (request in 3)"
"5","4.004341415","Routerbo_1c:8b:e3","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8b:e3  Cost = 0  Port = 0x0001"
"6","4.712379140","172.16.60.1","172.16.61.1","ICMP","98","Echo (ping) request  id=0x0c3e, seq=2/512, ttl=64 (reply in 7)"
"7","4.712633712","172.16.61.1","172.16.60.1","ICMP","98","Echo (ping) reply    id=0x0c3e, seq=2/512, ttl=63 (request in 6)"
"8","5.736363799","172.16.60.1","172.16.61.1","ICMP","98","Echo (ping) request  id=0x0c3e, seq=3/768, ttl=64 (reply in 9)"
"9","5.736616625","172.16.61.1","172.16.60.1","ICMP","98","Echo (ping) reply    id=0x0c3e, seq=3/768, ttl=63 (request in 8)"
"10","6.006826976","Routerbo_1c:8b:e3","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8b:e3  Cost = 0  Port = 0x0001"
"11","6.760363133","172.16.60.1","172.16.61.1","ICMP","98","Echo (ping) request  id=0x0c3e, seq=4/1024, ttl=64 (reply in 12)"
"12","6.760644734","172.16.61.1","172.16.60.1","ICMP","98","Echo (ping) reply    id=0x0c3e, seq=4/1024, ttl=63 (request in 11)"
"13","7.784366106","172.16.60.1","172.16.61.1","ICMP","98","Echo (ping) request  id=0x0c3e, seq=5/1280, ttl=64 (reply in 14)"
"14","7.784619909","172.16.61.1","172.16.60.1","ICMP","98","Echo (ping) reply    id=0x0c3e, seq=5/1280, ttl=63 (request in 13)"
"15","8.008867466","Routerbo_1c:8b:e3","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8b:e3  Cost = 0  Port = 0x0001"
"16","8.808366292","172.16.60.1","172.16.61.1","ICMP","98","Echo (ping) request  id=0x0c3e, seq=6/1536, ttl=64 (reply in 17)"
"17","8.808649010","172.16.61.1","172.16.60.1","ICMP","98","Echo (ping) reply    id=0x0c3e, seq=6/1536, ttl=63 (request in 16)"
"18","9.832368791","172.16.60.1","172.16.61.1","ICMP","98","Echo (ping) request  id=0x0c3e, seq=7/1792, ttl=64 (reply in 19)"
"19","9.832622804","172.16.61.1","172.16.60.1","ICMP","98","Echo (ping) reply    id=0x0c3e, seq=7/1792, ttl=63 (request in 18)"
"20","10.011114366","Routerbo_1c:8b:e3","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8b:e3  Cost = 0  Port = 0x0001"
