"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","f0:2f:74:2e:20:7c","Broadcast","ARP","60","Who has 192.168.109.1? Tell 192.168.109.123"
"2","0.241887478","10.227.20.32","142.250.200.142","ICMP","98","Echo (ping) request  id=0x0be0, seq=16/4096, ttl=64 (reply in 3)"
"3","0.258837596","142.250.200.142","10.227.20.32","ICMP","98","Echo (ping) reply    id=0x0be0, seq=16/4096, ttl=112 (request in 2)"
"4","0.513513161","AsustekC_b3:e9:e8","Broadcast","ARP","60","Who has 192.168.109.1? Tell 192.168.109.113"
"5","0.637345988","d4:77:98:37:79:07","d4:77:98:37:79:07","LOOP","60","Reply"
"6","0.961498724","AsustekC_b3:e9:e8","Broadcast","ARP","60","Who has 192.168.109.116? Tell 192.168.109.113"
"7","0.961512133","AsustekC_b3:e9:e8","Broadcast","ARP","60","Who has 192.168.109.115? Tell 192.168.109.113"
"8","0.961514368","AsustekC_b3:e9:e8","Broadcast","ARP","60","Who has 192.168.109.114? Tell 192.168.109.113"
"9","0.961516114","AsustekC_b3:e9:e8","Broadcast","ARP","60","Who has 192.168.109.112? Tell 192.168.109.113"
"10","0.961518000","AsustekC_b3:e9:e8","Broadcast","ARP","60","Who has 192.168.109.111? Tell 192.168.109.113"
"11","1.002464046","f0:2f:74:2e:20:7c","Broadcast","ARP","60","Who has 192.168.109.1? Tell 192.168.109.123"
"12","1.242175106","10.227.20.32","142.250.200.142","ICMP","98","Echo (ping) request  id=0x0be0, seq=17/4352, ttl=64 (reply in 13)"
"13","1.258845506","142.250.200.142","10.227.20.32","ICMP","98","Echo (ping) reply    id=0x0be0, seq=17/4352, ttl=112 (request in 12)"
"14","1.664256098","f0:2f:74:2e:20:7c","Broadcast","ARP","60","Who has 192.168.109.126? Tell 192.168.109.123"
"15","1.664269927","f0:2f:74:2e:20:7c","Broadcast","ARP","60","Who has 192.168.109.125? Tell 192.168.109.123"
"16","1.664272022","f0:2f:74:2e:20:7c","Broadcast","ARP","60","Who has 192.168.109.124? Tell 192.168.109.123"
"17","1.664274118","f0:2f:74:2e:20:7c","Broadcast","ARP","60","Who has 192.168.109.122? Tell 192.168.109.123"
"18","1.664275864","f0:2f:74:2e:20:7c","Broadcast","ARP","60","Who has 192.168.109.121? Tell 192.168.109.123"
"19","1.765814536","d4:77:98:37:79:07","CDP/VTP/DTP/PAgP/UDLD","DTP","60","Dynamic Trunk Protocol"
"20","1.866406989","d4:77:98:37:79:07","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/4c:00:82:2e:9a:00  Cost = 8  Port = 0x8007"
"21","2.026463979","f0:2f:74:2e:20:7c","Broadcast","ARP","60","Who has 192.168.109.1? Tell 192.168.109.123"
"22","2.243915318","10.227.20.32","142.250.200.142","ICMP","98","Echo (ping) request  id=0x0be0, seq=18/4608, ttl=64 (reply in 23)"
"23","2.260870674","142.250.200.142","10.227.20.32","ICMP","98","Echo (ping) reply    id=0x0be0, seq=18/4608, ttl=112 (request in 22)"
"24","2.666493171","f0:2f:74:2e:20:7c","Broadcast","ARP","60","Who has 192.168.109.121? Tell 192.168.109.123"
"25","2.666507419","f0:2f:74:2e:20:7c","Broadcast","ARP","60","Who has 192.168.109.122? Tell 192.168.109.123"
"26","2.666509723","f0:2f:74:2e:20:7c","Broadcast","ARP","60","Who has 192.168.109.124? Tell 192.168.109.123"
"27","2.666511539","f0:2f:74:2e:20:7c","Broadcast","ARP","60","Who has 192.168.109.125? Tell 192.168.109.123"
"28","2.666513355","f0:2f:74:2e:20:7c","Broadcast","ARP","60","Who has 192.168.109.126? Tell 192.168.109.123"
"29","2.917784333","AsustekC_b3:e9:e8","Broadcast","ARP","60","Who has 192.168.109.116? Tell 192.168.109.113"
"30","2.917797813","AsustekC_b3:e9:e8","Broadcast","ARP","60","Who has 192.168.109.115? Tell 192.168.109.113"
"31","2.917799698","AsustekC_b3:e9:e8","Broadcast","ARP","60","Who has 192.168.109.114? Tell 192.168.109.113"
"32","2.917801444","AsustekC_b3:e9:e8","Broadcast","ARP","60","Who has 192.168.109.112? Tell 192.168.109.113"
"33","2.917803121","AsustekC_b3:e9:e8","Broadcast","ARP","60","Who has 192.168.109.111? Tell 192.168.109.113"
"34","3.244954324","10.227.20.32","142.250.200.142","ICMP","98","Echo (ping) request  id=0x0be0, seq=19/4864, ttl=64 (reply in 35)"
"35","3.261872943","142.250.200.142","10.227.20.32","ICMP","98","Echo (ping) reply    id=0x0be0, seq=19/4864, ttl=112 (request in 34)"
"36","3.458183431","10.227.20.75","224.0.0.251","MDNS","200","Standard query 0x0000 PTR _ipps._tcp.local, ""QM"" question PTR _nmea-0183._tcp.local, ""QM"" question PTR _ftp._tcp.local, ""QM"" question PTR _webdav._tcp.local, ""QM"" question PTR _webdavs._tcp.local, ""QM"" question PTR _sftp-ssh._tcp.local, ""QM"" question PTR _smb._tcp.local, ""QM"" question PTR _afpovertcp._tcp.local, ""QM"" question PTR _nfs._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question"
"37","3.472203533","AsustekC_b3:e9:e8","Broadcast","ARP","60","Who has 192.168.109.1? Tell 192.168.109.113"
"38","3.690503944","f0:2f:74:2e:20:7c","Broadcast","ARP","60","Who has 192.168.109.126? Tell 192.168.109.123"
"39","3.690510579","f0:2f:74:2e:20:7c","Broadcast","ARP","60","Who has 192.168.109.125? Tell 192.168.109.123"
