"No.","Time","Source","Destination","Protocol","Length","Info"
"59","25.227528735","172.16.31.1","172.16.30.1","ICMP","98","Echo (ping) request  id=0x0878, seq=17/4352, ttl=64 (reply in 61)"
"60","25.227716542","172.16.31.254","172.16.31.1","ICMP","126","Redirect             (Redirect for host)"
"61","25.227916850","172.16.30.1","172.16.31.1","ICMP","98","Echo (ping) reply    id=0x0878, seq=17/4352, ttl=63 (request in 59)"
"62","26.027772269","Routerbo_1c:9f:4f","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/74:4d:28:ea:74:a5  Cost = 10  Port = 0x0001"
"63","26.251536503","172.16.31.1","172.16.30.1","ICMP","98","Echo (ping) request  id=0x0878, seq=18/4608, ttl=64 (reply in 64)"
"64","26.251936212","172.16.30.1","172.16.31.1","ICMP","98","Echo (ping) reply    id=0x0878, seq=18/4608, ttl=63 (request in 63)"
"65","27.275538555","172.16.31.1","172.16.30.1","ICMP","98","Echo (ping) request  id=0x0878, seq=19/4864, ttl=64 (reply in 66)"
"66","27.275924505","172.16.30.1","172.16.31.1","ICMP","98","Echo (ping) reply    id=0x0878, seq=19/4864, ttl=63 (request in 65)"
"67","28.029976550","Routerbo_1c:9f:4f","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/74:4d:28:ea:74:a5  Cost = 10  Port = 0x0001"
"68","28.299535660","172.16.31.1","172.16.30.1","ICMP","98","Echo (ping) request  id=0x0878, seq=20/5120, ttl=64 (reply in 69)"
"69","28.299957020","172.16.30.1","172.16.31.1","ICMP","98","Echo (ping) reply    id=0x0878, seq=20/5120, ttl=63 (request in 68)"
"70","29.323536129","172.16.31.1","172.16.30.1","ICMP","98","Echo (ping) request  id=0x0878, seq=21/5376, ttl=64 (reply in 71)"
"71","29.323919425","172.16.30.1","172.16.31.1","ICMP","98","Echo (ping) reply    id=0x0878, seq=21/5376, ttl=63 (request in 70)"
"72","30.032151541","Routerbo_1c:9f:4f","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/74:4d:28:ea:74:a5  Cost = 10  Port = 0x0001"
"73","30.347534933","172.16.31.1","172.16.30.1","ICMP","98","Echo (ping) request  id=0x0878, seq=22/5632, ttl=64 (reply in 74)"
"74","30.347919416","172.16.30.1","172.16.31.1","ICMP","98","Echo (ping) reply    id=0x0878, seq=22/5632, ttl=63 (request in 73)"
"75","31.371533189","172.16.31.1","172.16.30.1","ICMP","98","Echo (ping) request  id=0x0878, seq=23/5888, ttl=64 (reply in 76)"
"76","31.371940581","172.16.30.1","172.16.31.1","ICMP","98","Echo (ping) reply    id=0x0878, seq=23/5888, ttl=63 (request in 75)"
"77","32.034369389","Routerbo_1c:9f:4f","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/74:4d:28:ea:74:a5  Cost = 10  Port = 0x0001"
"78","32.395534530","172.16.31.1","172.16.30.1","ICMP","98","Echo (ping) request  id=0x0878, seq=24/6144, ttl=64 (reply in 79)"
"79","32.395920270","172.16.30.1","172.16.31.1","ICMP","98","Echo (ping) reply    id=0x0878, seq=24/6144, ttl=63 (request in 78)"
"80","33.419533367","172.16.31.1","172.16.30.1","ICMP","98","Echo (ping) request  id=0x0878, seq=25/6400, ttl=64 (reply in 81)"
"81","33.419951375","172.16.30.1","172.16.31.1","ICMP","98","Echo (ping) reply    id=0x0878, seq=25/6400, ttl=63 (request in 80)"
"82","34.036270683","Routerbo_1c:9f:4f","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/74:4d:28:ea:74:a5  Cost = 10  Port = 0x0001"
"83","34.443533892","172.16.31.1","172.16.30.1","ICMP","98","Echo (ping) request  id=0x0878, seq=26/6656, ttl=64 (reply in 84)"
"84","34.443970199","172.16.30.1","172.16.31.1","ICMP","98","Echo (ping) reply    id=0x0878, seq=26/6656, ttl=63 (request in 83)"
"85","36.038760653","Routerbo_1c:9f:4f","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/74:4d:28:ea:74:a5  Cost = 10  Port = 0x0001"
